tweet,hashtags
انا ولد بس زعمائك تمسح فيهم الارض باعترافهم و جابولهم رئيس حكومة و فرضوا ووافقوا غصب عنهم و حطولهم خطة و رح ينفذوها و اجرهم فوق راسهم و انا ولد و قلت لشينكر انا و زملائي بهاثورة يللي ما بيسترجي يقولوا زعمائك من سنين طويلة و اكيد انا مواطن لبناني ولد اسرف من كل المجرمين تبعك,[]
بكل لقاءات شخصيات من المجتمع المدني و الثورة مع المجتمع الدولي كان الخطاب موحد سيادي وواضح و بكل لقاءات الممانعة و حلفائهم و معارضيهم الوهميين كانوا ياكلوا بهدلة و يوصفوهم بالفاسدين و يعطوهم اوامر و ينفذوا بفخر و يتبجحوا انه المجتمع الدولي عم يحكي معهم #انا_خط_احمر #لبنان_ينتفض,"['#انا_خط_احمر', '#لبنان_ينتفض']"
لك ايييه كان عم بخبرني ماكرون كيف مسح الارض بمعلمينك و ذلن و بهدلن و قلهم شو يعملوا و راحوا متل الشاطرين كلهن و اولهم معلمينك نفذولوا متل التلاميذ المطيعين و نحنا فوق الطاولة قلناله رأينا يللي لا هو و لا غيرو بأثروا عليه و باي يا ممانعة ماكرون الاليقين,[]
الفرق بيني و بينك انا بحترم رأيك بس انت سبيتني على رأي على كل الاحوال والدك سوري ووالدتي سورية و ياريت بنتعلم انه كلنا عم ينضحك علينا لمصالح شخصية و سلام,[]
انت بتعمل ريتويت لشربل خليل و لبي الكل بفضل تضل عم بتسبني كل الوقت الله يحميك و يخليك بهالهمة,[]
ما ادلى به ميشال عون عن خوات وزارة المالية و ما رد به علي حسن خليل عن الاموال النقدية لبعبدا  و ما فضحه وئام وهاب و استعداده يدلي بشهادته للقضاء عن الصندوق الاسود و غيره و يللي بهزوا كيان دول ما هزوا شي باب بقصر العدل؟#انا_خط_احمر #كلن_يعني_كلن #لبنان_ينتفض,"['#انا_خط_احمر', '#كلن_يعني_كلن', '#لبنان_ينتفض']"
بلا اخلاق و بلا وفا بس ما بعرف اذا قصدك عني لأنني اكيد ما استفدت من حزب .,[]
بس للشتائم هيك معودين,[]
احلى تسلاية من مبارح لليوم انه بيجيني عدد كبير من الشتائم بغيب ساعتين و بكتب تويت و بترك بيرجعوا بيسبوا ليشبعوا بعد ساعتين بدون ما اقرا بكتب تويت و بفل و بترجع حفلة الجنون و هكذا دواليك و احلى من مدينة ملاهي و قاعدين ما عنا شي .يللا بلشوا #انا_خط_احمر #كلن_يعني_كلن #لبنان_ينتفض,"['#انا_خط_احمر', '#كلن_يعني_كلن', '#لبنان_ينتفض']"
انا رديت بس يللي مصر ما يفهم شو فيي اعمل معه,[]
بس لأترشح ذكرني و نحنا يللي تهاجمنا لاننا انتقدنا التكسير و نحنا يللي اصدرنا بسان من يومين وقفنا كل تحركات ساحة الشهداء حفاظا على املاك الناس من المندسين و اكيد آخر همي الظهور الاعلامي او كنت شفتني كل يوم بما انه شغلس بخللي علاقتي مع التلفزيونات يومية و مباشرة,[]
مش منتبه انه معظم يللي عم يشتموا بلا اسماء يعني معظمهم وهميين ، صرنا معودين,[]
بدي اعرف مين الحمار يللي عطاك هالمعلومات لأن عقد البلدية كان مع جمعية beasts  و انا هاجمته علنا و بمقابلات موجودة و وقت تحب عندي الاثباتات,[]
وقت اوصل لمرحلة تعب او احباط و يصير عندي شك بقراراتي و فجأة شوف حملة مبرمجة من الشتائم و الاتهامات الغبية بعرف قديه يللي عم نعمله عم يزعجهم ليتركوا عيلهم و اشغالهم و يشتموا فيي برجع بتفائل و بحس قديه عم نشتغل صح و بتسلى كتير كمان #انا_خط_احمر #لبنان_ينتفض #كلن_يعني_كلن,"['#انا_خط_احمر', '#لبنان_ينتفض', '#كلن_يعني_كلن']"
مش ضروري كل حدا كان بهيداك المحل يكون حرامي و فيي اكد و اصلا كان عندي مقابلات بعد الحفلة و حكيت و من البلدية و الدولة مش آخد ليرة و بغيد عندي كل الاثباتات ليللي بدو الحقيقة مش الافتراء على الناس,[]
صفر و عندي كل الاثباتات و انا مش صادر من عندي اي فاتورة للدولة او beasts و بتحدى حدا يثبت غير هيك و انا فيي اثبت كل كلمة,[]
وقت يفوت مجموعات من المهذبين المثقفين على حسابي لشتمي و يطلعوا صور قديمة علما انني ما محيت من حساباتي اس بوست متل غيري و طلعت بكل مقابلاتي و حكيت عن ماضيي و قلت اني غلطت و بفتخر اني تعلمت و يفوتوا هالتابعين السخفاء بس للشتم يعني انا على الطريق الصحيح #انا_خط_احمر #لبنان_يتنفض,"['#انا_خط_احمر', '#لبنان_يتنفض']"
بعد مقابلتي على mtv فات على حسابي مجموعات من الجيوش الاكترونية باسماء وهمية يعني جبناء مجندين للشتائم بلا كلمة مفيدة و سخافات بتضحك ما بيستاهلوا حتى شوفهم و اكيد تضييع ثانية للرد . تسلوا شوي بانتظار ماكرون يجي يسفق معلمينكن بهدلة جديدة #انا_خط_احمر #كلن_يعني_كلن #لبنان_يتنفض,"['#انا_خط_احمر', '#كلن_يعني_كلن', '#لبنان_يتنفض']"
٤- ووقت يطلع بعض السخيفين ليسألوا مين هوا الناس و اذا ما بسعرفوا مين حسين من منتشرين اكتر مجموعة فاعلة بالثورة و اليوم بالاغاثة و مين الين و لوري و بانا و يللي ما بيعرفوا مين خط أحمر عندهم مشكلة بالنفسية مش مشكلتنا نحلها #انا_خط_احمر #كلن_يعني_كلن #لبنان_ينتفض,"['#انا_خط_احمر', '#كلن_يعني_كلن', '#لبنان_ينتفض']"
ووقت يطلع بعض الهبل يقولوا انه اصدرنا بيان فورا بعد اللقاء مع دافيد شنكر و هو بيان اصلا مكتوب قبل اللقاء و موقف بيدعي لحماية املاك ببيروت و ضرورة ضبط التحركات بنكون وصلنا لقمة السخافة عند البعض و الحقارة عند الآخر تتمة...#انا_خط_احمر #كلن_يعني_كلن #لبنان_ينتفض,"['#انا_خط_احمر', '#كلن_يعني_كلن', '#لبنان_ينتفض']"
٣- ووقت يستدعيهن ماكرون  كلن يعني كلن و ياكلوا بهدلة قد راسهم بما فيهم مدعين البطولات و ياخدوا التعليمات و ينفذوها متل الشاطرين و نعبر نحنا عن رأي واضح و ثابت ووطني فوق الطاولة لدافيد شنكر او غيره بنصير عم نتلقى تعليمات عند السخفاء تتمة...#انا_خط_احمر #كلن_يعني_كلن #لبنان_ينتفض,"['#انا_خط_احمر', '#كلن_يعني_كلن', '#لبنان_ينتفض']"
٢- و نفس هالناس بتقول ما في وجوه للثورة و المعارضة و لهالسبب  المجتمع الدولي ما عم يقدر يتعاطى معنا و وقت يختاروا شخصيات لأخذ رأيها بتصير ما بتمثل الثورة او خائنة للقائها بأجانب ... تتمة #انا_خط_احمر #بيروت #كلن_يعني_كلن #لبنان_ينتفض,"['#انا_خط_احمر', '#بيروت', '#كلن_يعني_كلن', '#لبنان_ينتفض']"
١-غريب أمر هالشعب ، بضل ينق علينا كيف ساكتين و كيف الناس كلها مش بالشارع لتثور و وقت ندعي الناس تنزل بتقول ما بقا عنا أمل الشارع ما بوصل لمحل ...تتمة #انا_خط_احمر #بيروت #كلن_يعني_كلن #لبنان_ينتفض,"['#انا_خط_احمر', '#بيروت', '#كلن_يعني_كلن', '#لبنان_ينتفض']"
برنامج المظاهرة المركزية اليوم pic.twitter.com/FLIOcfBFqc,[]
تحديدا لهالاسباب بدنا قضاء مستقل ... pic.twitter.com/4kv2QYpSsX,[]
بعدو محمد عطوي بين الحياة و الموت بسبب بهايم قرروا ينهوا حياة شاب بدفن شاب ، و اليوم بهايم جدد بدفن بالشويفات عم يطلقوا النار بشكل مخيف و يهددوا حياة الناس مجددا و البهايم بدولتنا متل العادة او مش عارفين او ما خلوهم #انا_خط_احمر #كلن_يعني_كلن #لبنان_ينتفض,"['#انا_خط_احمر', '#كلن_يعني_كلن', '#لبنان_ينتفض']"
بما انه كان في قتلى و جرحى باشتباكات خلدة ، و بما انه المنطقة بتوقع بجيل لبنان ، بكرا غادة عون بتستدعي ربيع الزين و بيار حشاش على التحقيق #انا_خط_احمر #لبنان_ينتفض,"['#انا_خط_احمر', '#لبنان_ينتفض']"
اشتباكات خلدة تفاصيل بايخة بس نحنا الشعب بنبالغ ، فينا نخلي السلطة و القوى الامنية تركز شوي مع يللي كسر صورة الرئيس و الناشطين الزعران يللي عم بطالبوا بشوية حقوق بلا ما يلتهوا بكم مية مسلح مشتبكين على الطرقات #خلدة #انا_خط_احمر #كلن_يعني_كلن #لبنان_ينتفض,"['#خلدة', '#انا_خط_احمر', '#كلن_يعني_كلن', '#لبنان_ينتفض']"
#باسم_الشعب بس يتهمونا كلنا بالعمالة للخارج بحس ايران محافظة لبنانية و مدخول جريدة الاخبار من الاعلانات و الاشتراكات .حتى الانظمة الاستبدادية طورت الارهاب الفكري و هني بعدهم بالعصر الحجري,['#باسم_الشعب']
بعد افلاس بلد و انهياره و ثورة شعب و هجرة جماعية و تفجير جماعي و ضحايا بالمئات و خراب بالكيلومترات ، بعد كل هالمصايب و اكتر و يللي تسبب فيها كم ،ما يسمى ،زعيم ، عم يتخانقوا على الوزارات كأن شيئا لم يكن و بعدها الثورة عم بتجرب تتوحد ...#انا_خط_احمر #كلن_يعني_كلن #لبنان_ينتفض,"['#انا_خط_احمر', '#كلن_يعني_كلن', '#لبنان_ينتفض']"
