Lebanese,English
2a3d,a sitting
2a3de,a sitting
23de,a sitting
2a3di,a sitting
2asi,hard
2ase,hard
2aasi,hard
2aasyi,hard
2ahoui,coffee
2ahwe,coffee
2hwe,coffee
2ahwi,coffee
2hwi,coffee
2amar,a moon
2mr,a moon
2anoun,law
2araaiib,relitives
2araib,relitives
2raib,relitives
2arayeb,relitives
2rayeb,relitives
2ariib,close
2arib,close
2areb,close
2ariibi,close
2arebe,close
2arebi,close
2ariiban,soon
2ariban,soon
2ribn,soon
2asiir,short
2asir,short
2aser,short
2asiiri,short
2aseri,short
2awi,strong
2awe,strong
2e3ed,is
2e3d,is
23d,is
2e3edi,is
2e5baar,news
2e5bar,news
25bar,news
2edaem,in front
2edem,in front
2eddem,in front
2edaiish esae3a,what time is it
2edish elsae3a,what time is it
2adish elsae3a,what time is it
2ejer,leg
2er8iif,loaf
2ezaez,glass
2zez,glass
2iid,hand
2iid elyamiin,right hand
2iid eshmael,left hand
2o5t,sister
2oui,power
2owwe,power
2ourb,close
2areb,close
2ereb,close
2u3a,watch out
3a,on
3am,am
3adad,amount
3adad kbiir,big amount
3adad sa8iir,small amount
3adi,it's ok
3aade,tradition
3aetnain,at 2
3aiin,eye
3en,eye
3al2a2el,at least
3al2aliili,at least
3alae2a,relationship
3ale2a,relationship
3alwe7di,at 1
3am mout men el,i'm dying from
3am mout mnl,i'm dying from
3amme,uncle
5aale,uncle
3an,about
3n,about
3an2ased,on purpose
3ared,an offer
3asawa,straight
3asha,dinner
3ashmaelak,on your left
3ashmaelik,on your left
3asobo7,in the morning
3atel,out of order
3ateli,out of order
3atle,out of order
3atem,dark
3atemaeni,at 8
3atoul,always
3awainaet,glasses
3ayamiinak,on your right
3ayamiinik,on your right
3aziaara,on a visit
3elbi,box
3endak,You have
3endik,You have
3enwaen,address
3ers,wedding
3omor,life
5ai,brother
5alas,enough
5aliik,stay
5aliilki,stay
5allina nelta2a,lets meet
5areta,map
5as,lettuce
5ashab,wood
5atiir,dangerous
5awaeja,mister
monsieur,mister
5ebaez,baker
5ebez,bread
5edmi,service
5etiaar,old person
5etiaara,old person
5ewet,amazed
5ewtet fiiyi,amazed at me
5odra,vegetables
7a2ii2i,real
7a2i2a,truth
7a2ii2atan,truthfully
7aait,wall
7eit,wall
7abbi,pill
7abiibi,my darling
7abiibiti,my darling
7ad,beside
7ader,ready
7adera,ready
7ada,someone
7afli,party
7aiaet,life
7ayet,life
7aiwaen,animal
7ayawen,animal
7aiiwaeni,animal
7ayaweni,animal
7aliib,milk
7aleeb,milk
7amaes,excitement
7araam,forbiden
7araam 3alaik,you are mean
7araara,temperature
7ebli,pregnant
7elou,beautiful
7eloui,beautiful
7elwi,beautiful
7odud,border
7orr,free
7orra,free
8aali,costly
8aalyi,costly
8ada,lunch
8aeme2,deep
8aiir,other than
8er,other than
8alat,wrong
8alta,mistake
8alta menak,mistake from you
8alta menni,mistake (from me)
8ani,rich
8aniiyi,rich
8areb,west
8ariib,strange
8eniiyi,song
8erfet 2a3oud,living room
8erfi,room
8erfet 2e3oud,living room
8erfet nowm,bedroom
a3ma,blind
3amia,blind
a3ti,give
a5adar,green
5adra,green
a7mar,red
a7saes,feeling
a7san,better
abel,before
abiiad,white
abyad,white
baiida,white
