text,translated_text,locations
"#Corona #COVIDー19 Official Numbers in Lebanon till date:(New)
-Tests Done:576,847(8996)
-Confirmed Cases:20,453(415)
-Recovered:6,139(271)
-Death:191(4)
-Active Cases:14,123
-Hospitalized:366
-Moderate:260
-ICU:106
#كورونا #كورونا_لبنان #لبنان
 #StayAtHome  #COVID2019 #COVID19","#Corona #COVIDー19 Official Numbers in Lebanon till date:(New)
-Tests Done:576,847(8996)
-Confirmed Cases:20,453(415)
-Recovered:6,139(271)
-Death:191(4)
-Active Cases:14,123
-Hospitalized:366
-Moderate:260
-ICU:106
#كورونا #كورونا_لبنان #لبنان
 #StayAtHome  #COVID2019 #COVID19",
"#كورونا_لبنان
#coronavirus","# Corona_Lebanon
#coronavirus",
"إدارة منتجع “البالما” توضح.. ماذا قالت عن إصابات كورونا؟
#لبنان
#كورونا","The management of the ""Palma"" resort explains ... what did it say about Corona's injuries?
#Lebanon
Corona",ارة | ابا
"عاجل: وزارة الصحة اللبنانية: 415 إصابة كورونا و4 حالات وفاة
خلال 24 ساعة
#كورونا_لبنان","Urgent: The Lebanese Ministry of Health: 415 Corona injuries and 4 deaths
Within 24 hours
# Corona_Lebanon",حالات | ارة | عين الصحة | اللبنايا | كور
"أخيرا بكرا ٧ ايلول بتخلص التعبئة العامة وبترجع بتفتح المحلات والكل بصير يروح ويجي
#كورونا_لبنان","Finally, the 7 of September gets rid of the general mobilization and returns when shops open, and everyone will see
# Corona_Lebanon",المشحات | العاملية | را
"التقرير اليومي لفيروس كورونا ""كوفيد -19""
التاريخ: الأحد 6 أيلول 2020
#حركة_أمل
#كورونا_لبنان
#خليك_بالبيت
#وطنك_بيتك
#كورونا","The daily report of the Coronavirus ""Covid-19""
Date: Sunday 6 September 2020
Hope movement
# Corona_Lebanon
#StayHome
Your home is your home
Corona",روس | كور | التامرية | القرعي
"وزارة الصحة اللبنانية تعلن عن إرتفاع عدد الإصابات إلى 20426 بعد تسجيل 415 إصابات جديدة، 396 لمقيمين و 18 وافدين. عدد الفحوصات 8996 فحص.
#كورونا #لبنان #بيروت","The Lebanese Ministry of Health announces that the number of injuries has risen to 20,426, after 415 new injuries were recorded, 396 residents and 18 expatriates. The number of examinations is 8,996.
# Corona # Lebanon # Beirut",بيروت | ارة | عين الصحة | اللبنايا | بعدران
"وزارة الصحة: 415 اصابة كورونا و4 حالات وفاة
#كورونا_لبنان","Ministry of Health: 415 Corona injuries, 4 deaths
# Corona_Lebanon",حالات | ارة | عين الصحة | كور
"فيروس كورونا :
إصابات جديدة : ٤١٥
العدد الإجمالي : ٢٠٤٢٦
مقيمين : ٣٩٦
وافدين : ١٩
عدد المصابين حالياً : ١٤٠٩٦
حالات حرجة : ١٠٦
وفيات :١٩١
حالات شفاء : ٦١٣٩
#كورونا
#كورونا_لبنان
#كورونا_الجديد
#فيروس_كورونا #خليك_بالبيت","Corona Virus :
New infections: 415
Total number: 20,426
Residents: 396
Expatriates: 19
The number of injured is currently: 14096
Critical cases: 106
Deaths: 191
Cures: 6,139
Corona
# Corona_Lebanon
#New Corona
Corona virus # Stay home",حالات | روس | كور | ابا | جديدة غزير
"Sunday, September 6 at 7:51 PM

547 new patients have fully recovered from COVID-19, increasing the total number of recoveries to 6139 and reducing active cases to 14096. #كورونا_لبنان","Sunday, September 6 at 7:51 PM

547 new patients have fully recovered from COVID-19, increasing the total number of recoveries to 6139 and reducing active cases to 14096. #كورونا_لبنان",ne
"أكيد طبعاً ما عجبها الحكي وضلّت تطلّع فيي بالقلب وتجأوِرني، مع العلم اني ما حسيت حالي عملت شي غلط وحتى ما حسيت حالي ندمت أبداً.
عَ أمل الناس توعى بقى بخصوص هالموضوع كرمال الاستهتار عند ""معظم"" الناس وخاصّة الاهل شي مش مقبول أبداً.
#كورونا_لبنان
#COVIDー19
#كورونا_مش_مزحة","Of course, she was astonished by the narration and lost sight of me in the heart and besieged me, knowing that I did not feel that I did something wrong and even I did not feel now I ever regret it.
On the hope of the people, awareness remains about this issue, as the sands of recklessness among ""most"" people, especially parents, is something that is not acceptable at all.
# Corona_Lebanon
#COVID ー 19
#Coronavirus is a joke",حتى | حانين | عندقت | الا | العليمة
"ارتفاع العدد الكلّي للمصابين بفيروس كورونا في القلمون الى ٤٩ اصابة بعد تسجيل حالة جديدة اليوم.
و استقر عدد حالات الشفاء على ٢٦ مع تسجيل وفاة واحدة ليكون العدد الكلّي للحالات الناشطة حتى الساعة في البلدة هو ٢٢.
 سلامة قلب الجميع
#الوقاية_ثم_الوقاية_ثم_الوقاية #كورونا #لبنان","The total number of people infected with Coronavirus in Qalamoun increased to 49, after a new case was registered today.
The number of recovery cases stabilized at 26, with one death recorded, so that the total number of active cases up to the hour in the town is 22.
 Everyone's heart is safe
#Prevention_then_prevention_then_prevention #Corona #Lebanon",القلمون | حالات | حتى | كحالة | حالات
"A drop in #COVID19 cases in #Lebanon today with the Ministry of Health recording 415 new cases and four deaths in the last 24-hours. The total is now 20,436 and 191 deaths. #CoronaVirusUpdate #كورونا #كورونا_لبنان","A drop in #COVID19 cases in #Lebanon today with the Ministry of Health recording 415 new cases and four deaths in the last 24-hours. The total is now 20,436 and 191 deaths. #CoronaVirusUpdate #كورونا #كورونا_لبنان",fouar | ne | كور
"وزارة الصحة: 4 وفيات و415 إصابة جديدة
#كورونا #لبنان","Ministry of Health: 4 deaths, 415 new infections
# Corona # Lebanon",ارة | يات | عين الصحة
"#عاجل | وزارة الصحة اللبنانية: 4 وفيات و415 إصابة جديدة بفيروس كورونا

#لبنان","Urgent # | The Lebanese Ministry of Health: 4 deaths and 415 new cases of coronavirus

#Lebanon",ارة | يات | عين الصحة | اللبنايا | جديدة غزير
"#عاجل | وزارة الصحة اللبنانية: 4 وفيات و415 إصابة جديدة بفيروس كورونا

#لبنان","Urgent # | The Lebanese Ministry of Health: 4 deaths and 415 new cases of coronavirus

#Lebanon",ارة | يات | عين الصحة | اللبنايا | جديدة غزير
#طرابلس_لبنان #كورونا #لبنان,#TripoliLebanon #Corona #Lebanon,طرابلس | كور
"61 إصابة جديدة في طرابلس
https://cutt.ly/lfmoQJe
#طرابلس #كورونا #لبنان","61 new injuries in Tripoli
https://cutt.ly/lfmoQJe
# Tripoli # Corona # Lebanon",جديدة غزير | كور
"في ظل الأوضاع السياسية والاقتصادية الصعبة، إطلالة خاصة لرئيس لقاء الاعتدال المدني، النائب السابق مصباح الأحدب، عبر انستغرام LIVE الجمعة ١١ ايلول ٩مساءً.
يمكنكم متابعة اللقاء عبر صفحتي الخاصة على انستغرام samia_khaddaj.
@MisbahAhdab

#كورونا #لبنان_راح_يرجع #بيروت #إنستغرام #لبنان","In light of the difficult political and economic conditions, a special look by the president of the civil moderation meeting, former MP Misbah Al-Ahdab, via Instagram LIVE Friday, September 11 9 pm.
You can follow the meeting on my Instagram page. Samia_khaddaj.
@MisbahAhd

# Corona # Lebanon_Returned #Beirut #Instagram #Lebanon",بيروت | عبرا | عبرا | لالة | ئيس
"شو معاليك؟ منلاقي عند حضرتك جواب؟
@Hamad_hassan20
؟
#كورونا_لبنان","What are you? Do I get an answer?
@ Hamadhassan
?
# Corona_Lebanon",عندقت
"ل نحسم الأمر ، اي فصل تفضلون ؟

#الكويت #السعوديه #العراق #قطر #البحرين #الامارات #عُمان #الاردن #فلسطين #المغرب #كورونا #لبنان #الجزائر #عمان #الزرقاء #فيروس_كورونا","To settle the matter, which chapter do you prefer?

# Kuwait # Saudi Arabia # Iraq # Qatar # Bahrain # UAE # Oman # Jordan # Palestine # Morocco # Corona # Lebanon # Algeria # Oman # Zarqa # Corona virus",طر | البرجين | الجزاير | حوش الأمراء | العذرا
"@LebarmyOfficial
 @isf بيسلموا عليكم الشباب ..

وبالاخص على
@Hamad_hassan20
 ..
السيادة !!! الوقاية!! برعاية حزب الله وحماس ومباركة اسرائيلية!!
#كورونا #لبنان_ينتفض #لبنان","@LebarmyOfficial
 @isfShell they greet you young people ..

Especially on
@ Hamadhassan
 ..
Sovereignty !!! protection!! Under the auspices of Hezbollah, Hamas, and Israeli blessing !!
# Corona # Lebanon_Rising # Lebanon",اللهبية | السياحة | القناية | البابا | سلم
"اليوم ٢٠ من الحجر المنزلي
و مش عم اخلص من الكورونا حاسس حالي كنت بووهان وقت نطبخ جوانح الوطواط مع كزبره و ثوم حامض و جيت انا اخر شي حطيت اللمسة تبع الملح بهار و تنشقت الريحة الطيبة
 تعشعشت الكورونا فيي بس قدرة الله بتشيلها
#كورونا_لبنان","Day 20 home quarantine
I am not completely out of the corona. I feel now. I was in Wuhan when we cooked batwing with coriander, sour garlic, and jett. I was the last thing. I got the touch, followed by the salt, the spice and inhaled the good smell.
 Corona nested in me, but God’s power to cripple it
# Corona_Lebanon",الطيبة | حام | عانا | الملحمة | وق
