word,context,category
information,news,neutral
report,news,neutral
intelligence,news,neutral
latest,news,neutral
word,news,neutral
account,news,neutral
info,news,neutral
dispatch,news,neutral
gossip,news,neutral
revelation,news,neutral
statement,news,neutral
story,news,neutral
announcement,news,neutral
disclosure,news,neutral
rumour,news,neutral
scandal,news,neutral
advice,news,neutral
communication,news,neutral
message,news,neutral
buzz,news,neutral
dirt,news,neutral
leak,news,neutral
tidings,news,neutral
knowledge,news,neutral
notice,news,neutral
summary,news,neutral
talk,news,neutral
update,news,neutral
data,news,neutral
enlightenment,news,neutral
status,news,neutral
description,news,neutral
discovery,news,neutral
tattle,news,neutral
facts,news,neutral
notification,news,neutral
letter,news,neutral
note,news,neutral
whisper,news,neutral
memo,news,neutral
instruction,news,neutral
scoop,news,neutral
details,news,neutral
suggestion,news,neutral
tale,news,neutral
clue,news,neutral
hint,news,neutral
warning,news,neutral
reports,news,neutral
statistics,news,neutral
document,news,neutral
findings,news,neutral
speculation,news,neutral
acknowledgment,news,neutral
tip,news,neutral
documentation,news,neutral
documents,news,neutral
information,news,neutral
comment,news,neutral
briefing,news,neutral
confession,news,neutral
gossip,news,neutral
reportage,news,neutral
fact,news,neutral
message,news,neutral
fact,news,neutral
tip-off,news,neutral
posting,news,neutral
post,news,neutral
tales,news,neutral
whispers,news,neutral
unconfirmed,news,neutral
report,news,neutral
allegation,news,neutral
fabrication,news,neutral
claim,news,neutral
repute,news,neutral
feedback,news,neutral
notes,news,neutral
documentary,news,neutral
bulletin,news,neutral
article,news,neutral
expose,news,neutral
headlines,news,neutral
item,news,neutral
newscast,news,neutral
release,news,neutral
news,news,neutral
scoop,news,neutral
press,news,neutral
release,news,neutral
reports,news,neutral
broadcast,news,neutral
narration,news,neutral
editorial,news,neutral
revelation,news,neutral
record,news,neutral
journal,news,neutral
intelligence,news,neutral
announcement,news,neutral
notification,news,neutral
newsflash,news,neutral
posting,news,neutral
publication,news,neutral
statement,news,neutral
feed,news,neutral
feeds,news,neutral
enraged,angry,negative
furious,angry,negative
irate,angry,negative
livid,angry,negative
outraged,angry,negative
indignant,angry,negative
infuriated,angry,negative
mad,angry,negative
affronted,angry,negative
antagonised,angry,negative
incensed,angry,negative
offended,angry,negative
resentful,angry,negative
apoplectic,angry,negative
irritated,angry,negative
maddened,angry,negative
aggravated,angry,negative
annoyed,angry,negative
chafed,angry,negative
cross,angry,negative
exasperated,angry,negative
galled,angry,negative
provoked,angry,negative
riled,angry,negative
cheesed,angry,negative
off,angry,negative
disgruntled,angry,negative
disgusted,angry,negative
nettled,angry,negative
piqued,angry,negative
ropeable,angry,negative
seething,angry,negative
sore,angry,negative
vexed,angry,negative
worked up,angry,negative
angered,angry,negative
foaming,angry,negative
gnashing,angry,negative
irked,angry,negative
miffed,angry,negative
peeved,angry,negative
rabid,angry,negative
rankled,angry,negative
soreheaded,angry,negative
frenzy,angry,negative
ticked,angry,negative
wrathful,angry,negative
fuming,angry,negative
ireful,angry,negative
ranting,angry,negative
stormy,angry,negative
angry,angry,negative
hostile,angry,negative
flaming,angry,negative
blazing,angry,negative
storming,angry,negative
hysterical,angry,negative
irritable,angry,negative
wrath,angry,negative
discontent,angry,negative
ferocious,angry,negative
berserk,angry,negative
crabby,angry,negative
frantic,angry,negative
spiteful,angry,negative
grumpy,angry,negative
hateful,angry,negative
vicious,angry,negative
rage,angry,negative
raging,angry,negative
angry,angry,negative
anger,angry,negative
sorrowful,sad,negative
unhappy,sad,negative
miserable,sad,negative
mournful,sad,negative
upset,sad,negative
depressed,sad,negative
heartbroken,sad,negative
dejected,sad,negative
demoralized,sad,negative
desolate,sad,negative
disheartened,sad,negative
dispirited,sad,negative
hurt,sad,negative
pessimistic,sad,negative
sullen,sad,negative
bitter,sad,negative
downcast,sad,negative
gloomy,sad,negative
grief,sad,negative
grieved,sad,negative
joyless,sad,negative
tearful,sad,negative
teary,sad,negative
weepy,sad,negative
saddened,sad,negative
aggrieved,sad,negative
anguished,sad,negative
heartsore,sad,negative
wretched,sad,negative
saddening,sad,negative
weeping,sad,negative
devastated,sad,negative
sorrowing,sad,negative
mourning,sad,negative
wailing,sad,negative
lamenting,sad,negative
tragic,sad,negative
pitiable,sad,negative
funeral,sad,negative
pained,sad,negative
whimpering,sad,negative
gloom,sad,negative
crying,sad,negative
tears,sad,negative
sorrow,sad,negative
moist,sad,negative
discontented,disappointed,negative
discouraged,disappointed,negative
disillusioned,disappointed,negative
despondent,disappointed,negative
dissatisfied,disappointed,negative
disconsolate,disappointed,negative
disenchanted,disappointed,negative
discomfited,disappointed,negative
displeased,disappointed,negative
aghast,disappointed,negative
unsatisfied,disappointed,negative
objecting,disappointed,negative
foiled,disappointed,negative
frustrated,disappointed,negative
uneasy,anxious,negative
worried,anxious,negative
troubled,anxious,negative
concerned,anxious,negative
nervous,anxious,negative
fearful,anxious,negative
tense,anxious,negative
apprehensive,anxious,negative
distressed,anxious,negative
disturbed,anxious,negative
disquieted,anxious,negative
edgy,anxious,negative
perturbed,anxious,negative
agitated,anxious,negative
fretful,anxious,negative
jittery,anxious,negative
overwrought,anxious,negative
jumpy,anxious,negative
bothered,anxious,negative
fretting,anxious,negative
twitchy,anxious,negative
uptight,anxious,negative
afraid,anxious,negative
antsy,anxious,negative
careful,anxious,negative
wired,anxious,negative
stressed,anxious,negative
uncomfortable,anxious,negative
unsettled,anxious,negative
flurried,anxious,negative
nervy,anxious,negative
restless,anxious,negative
discomposed,anxious,negative
shaky,anxious,negative
unquiet,anxious,negative
aflutter,anxious,negative
atwitter,anxious,negative
dithery,anxious,negative
fidgety,anxious,negative
insecure,anxious,negative
queasy,anxious,negative
queazy,anxious,negative
shaking,anxious,negative
solicitous,anxious,negative
spooked,anxious,negative
toey,anxious,negative
angstful,anxious,negative
angsty,anxious,negative
frightened,anxious,negative
goosey,anxious,negative
hinky,anxious,negative
hyper,anxious,negative
overstrung,anxious,negative
scared,anxious,negative
shivery,anxious,negative
spooky,anxious,negative
squirrelly,anxious,negative
stressy,anxious,negative
taut,anxious,negative
unglued,anxious,negative
watchful,anxious,negative
windy,anxious,negative
bugged,anxious,negative
dreading,anxious,negative
suspense,anxious,negative
stress,anxious,negative
sweat,anxious,negative
worried,anxious,negative
agitation,anxious,negative
shook,anxious,negative
sweating,anxious,negative
flustered,anxious,negative
distraught,anxious,negative
strained,anxious,negative
panicky,anxious,negative
restive,anxious,negative
terrified,anxious,negative
dismayed,anxious,negative
tormented,anxious,negative
uncertain,anxious,negative
shaken,anxious,negative
disconcerted,anxious,negative
hesitant,anxious,negative
shocked,anxious,negative
distracted,anxious,negative
trembling,anxious,negative
impatient,anxious,negative
desperate,anxious,negative
sensitive,anxious,negative
stressed,anxious,negative
unstable,anxious,negative
unconfident,anxious,negative
scared,anxious,negative
doubtful,anxious,negative
unsteady,anxious,negative
perplexed,anxious,negative
muddled,anxious,negative
delirious,anxious,negative
nervous,anxious,negative
wavering,anxious,negative
fidgeting,anxious,negative
paranoid,anxious,negative
belief,hopeful,positive
faith,hopeful,positive
confidence,hopeful,positive
expectation,hopeful,positive
hopefulness,hopeful,positive
conviction,hopeful,positive
reassurance,hopeful,positive
assurance,hopeful,positive
trust,hopeful,positive
certainty,hopeful,positive
reliance,hopeful,positive
optimism,hopeful,positive
entrustment,hopeful,positive
assuredness,hopeful,positive
positiveness,hopeful,positive
encouragement,hopeful,positive
anticipation,hopeful,positive
aspiration,hopeful,positive
expectancy,hopeful,positive
expectance,hopeful,positive
encouragement,hopeful,positive
expectation,hopeful,positive
hopefulness,hopeful,positive
positiveness,hopeful,positive
confidence,hopeful,positive
eagerness,hopeful,positive
positivity,hopeful,positive
hopes,hopeful,positive
easiness,hopeful,positive
elation,hopeful,positive
positivism,hopeful,positive
sureness,hopeful,positive
happiness,hopeful,positive
positive,hopeful,positive
