word,context,category
information,news,neutral
report,news,neutral
intelligence,news,neutral
latest,news,neutral
word,news,neutral
account,news,neutral
info,news,neutral
dispatch,news,neutral
gossip,news,neutral
revelation,news,neutral
statement,news,neutral
story,news,neutral
announcement,news,neutral
disclosure,news,neutral
rumour,news,neutral
scandal,news,neutral
advice,news,neutral
communication,news,neutral
message,news,neutral
buzz,news,neutral
dirt,news,neutral
leak,news,neutral
tidings,news,neutral
knowledge,news,neutral
notice,news,neutral
summary,news,neutral
talk,news,neutral
update,news,neutral
data,news,neutral
enlightenment,news,neutral
status,news,neutral
description,news,neutral
discovery,news,neutral
update,news,neutral
tattle,news,neutral
facts,news,neutral
notification,news,neutral
letter,news,neutral
note,news,neutral
whisper,news,neutral
memo,news,neutral
instruction,news,neutral
scoop,news,neutral
details,news,neutral
suggestion,news,neutral
tale,news,neutral
clue,news,neutral
hint,news,neutral
warning,news,neutral
reports,news,neutral
statistics,news,neutral
document,news,neutral
findings,news,neutral
speculation,news,neutral
acknowledgment,news,neutral
tip,news,neutral
documentation,news,neutral
documents,news,neutral
information,news,neutral
comment,news,neutral
briefing,news,neutral
confession,news,neutral
gossip,news,neutral
reportage,news,neutral
fact,news,neutral
message,news,neutral
fact,news,neutral
tip-off,news,neutral
posting,news,neutral
post,news,neutral
tales,news,neutral
whispers,news,neutral
unconfirmed,news,neutral
report,news,neutral
allegation,news,neutral
fabrication,news,neutral
claim,news,neutral
repute,news,neutral
feedback,news,neutral
notes,news,neutral
documentary,news,neutral
bulletin,news,neutral
article,news,neutral
expose,news,neutral
headlines,news,neutral
item,news,neutral
newscast,news,neutral
release,news,neutral
news,news,neutral
scoop,news,neutral
press,news,neutral
release,news,neutral
reports,news,neutral
broadcast,news,neutral
narration,news,neutral
editorial,news,neutral
revelation,news,neutral
record,news,neutral
journal,news,neutral
intelligence,news,neutral
announcement,news,neutral
notification,news,neutral
newsflash,news,neutral
posting,news,neutral
publication,news,neutral
statement,news,neutral
feed,news,neutral
feeds,news,neutral
enraged,angry,negative
furious,angry,negative
irate,angry,negative
livid,angry,negative
outraged,angry,negative
indignant,angry,negative
infuriated,angry,negative
mad,angry,negative
affronted,angry,negative
antagonised,angry,negative
bitter,angry,negative
incensed,angry,negative
offended,angry,negative
resentful,angry,negative
apoplectic,angry,negative
irritated,angry,negative
maddened,angry,negative
aggravated,angry,negative
aggrieved,angry,negative
annoyed,angry,negative
chafed,angry,negative
cross,angry,negative
displeased,angry,negative
exasperated,angry,negative
galled,angry,negative
provoked,angry,negative
riled,angry,negative
upset,angry,negative
cheesed,angry,negative
off,angry,negative
discontented,angry,negative
disgruntled,angry,negative
disgusted,angry,negative
nettled,angry,negative
perturbed,angry,negative
piqued,angry,negative
ropeable,angry,negative
seething,angry,negative
sore,angry,negative
vexed,angry,negative
worked up,angry,negative
angered,angry,negative
bothered,angry,negative
foaming,angry,negative
gnashing,angry,negative
irked,angry,negative
miffed,angry,negative
peeved,angry,negative
rabid,angry,negative
rankled,angry,negative
soreheaded,angry,negative
frustrated,angry,negative
frenzy,angry,negative
ticked,angry,negative
unhappy,angry,negative
wrathful,angry,negative
fuming,angry,negative
ireful,angry,negative
ranting,angry,negative
stormy,angry,negative
angry,angry,negative
hostile,angry,negative
bothered,angry,negative
flaming,angry,negative
blazing,angry,negative
storming,angry,negative
hysterical,angry,negative
irritable,angry,negative
wrath,angry,negative
discontent,angry,negative
ferocious,angry,negative
berserk,angry,negative
crabby,angry,negative
frantic,angry,negative
spiteful,angry,negative
grumpy,angry,negative
hateful,angry,negative
vicious,angry,negative
rage,angry,negative
raging,angry,negative
angry,angry,negative
anger,angry,negative
